id,default_code,name_en,category,current_routes,proposed_action,proposed_route_change,final_route_set_recommended,reason
8381,RM-BOT-AC-01001,โฟมใส่ฝาขวดแก้วแบน 3cc,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8339,RM-COT-PN-01001,สำลี,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy, Replenish on Order (MTO)",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy, Replenish on Order (MTO)",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8083,RM-FIL-PS-01002,ก้นกรอง,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8147,RM-HTF-DE-00001,ฉลาก HTF PS ตัวบน เยอรมัน,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy, Replenish on Order (MTO)",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy, Replenish on Order (MTO)",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8148,RM-HTF-DE-00002,ฉลาก HTF PS ตัวล่าง เยอรมัน,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy, Replenish on Order (MTO)",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy, Replenish on Order (MTO)",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8136,RM-HTF-IL-00001,ฉลาก HTF MarkII อิสราเอล ตัวบน,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy, Replenish on Order (MTO)",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy, Replenish on Order (MTO)",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8131,RM-HTF-IL-00002,ฉลาก HTF MarkII อิสราเอล ตัวล่าง,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy, Replenish on Order (MTO)",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy, Replenish on Order (MTO)",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8135,RM-HTF-JP-00001,ฉลาก HTF MarkII NOSE MINT ตัวบน,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy, Replenish on Order (MTO)",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy, Replenish on Order (MTO)",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8134,RM-HTF-JP-00002,ฉลาก HTF MarkII NOSE MINT ตัวล่าง,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy, Replenish on Order (MTO)",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy, Replenish on Order (MTO)",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
8144,RM-HTF-MY-00002,ฉลาก HTF PS ตัวล่าง มาเลเซีย,All / RM / บรรจุภัณฑ์,"Auto Transfer RM (Plastic), Buy",Replace route,Auto Transfer RM (Plastic) -> Auto Transfer RM (Packaging),"Auto Transfer RM (Packaging), Buy",Category is packaging/RM but current auto-transfer route is Plastic; keep Buy/MTO as-is and switch only the auto-transfer route to Packaging to avoid duplicate transfer paths.
